Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=051910,2020.11.18,"709,000","23,000",+3.35%,"350,805","+14,784","+91,584","29,015,984",41.10%
https://finance.naver.com/item/frgn.nhn?code=051910,2020.11.17,"686,000","9,000",+1.33%,"331,899","-33,351","+47,258","28,930,585",40.98%
https://finance.naver.com/item/frgn.nhn?code=319660,2020.11.23,"38,700",900,+2.38%,"473,988","+78,663","-8,259","1,329,059",9.00%
https://finance.naver.com/item/frgn.nhn?code=319660,2020.11.20,"37,800",800,-2.07%,"491,355","-74,441","-19,221","1,337,318",9.06%
https://finance.naver.com/item/frgn.nhn?code=319660,2020.11.19,"38,600","1,650",+4.47%,"621,715","+48,727","+53,341","1,356,539",9.19%
https://finance.naver.com/item/frgn.nhn?code=319660,2020.11.18,"36,950",0,0.00%,"495,228","+5,004","-58,521","1,303,198",8.83%
https://finance.naver.com/item/frgn.nhn?code=319660,2020.11.17,"36,950",300,-0.81%,"480,355","-43,659","-59,535","1,361,719",9.22%
https://finance.naver.com/item/frgn.nhn?code=237690,2020.11.23,"79,000","7,200",+10.03%,"1,193,393","+124,687","+36,531","574,425",3.08%
https://finance.naver.com/item/frgn.nhn?code=237690,2020.11.20,"71,800","3,900",-5.15%,"713,005","-43,896","-21,299","537,894",2.88%
https://finance.naver.com/item/frgn.nhn?code=237690,2020.11.19,"75,700","1,100",-1.43%,"1,669,267","-36,902","-84,023","559,193",3.00%
https://finance.naver.com/item/frgn.nhn?code=237690,2020.11.18,"76,800","11,800",+18.15%,"2,890,343","+141,332","+178,150","643,216",3.45%
https://finance.naver.com/item/frgn.nhn?code=237690,2020.11.17,"65,000","1,600",+2.52%,"541,932","-52,078","-1,544","465,066",2.49%
https://finance.naver.com/item/frgn.nhn?code=005850,2020.11.23,"15,550",50,-0.32%,"199,498","+17,830",+230,"7,093,365",14.72%
https://finance.naver.com/item/frgn.nhn?code=005850,2020.11.20,"15,600",150,-0.95%,"145,049","-25,352","+8,607","7,093,135",14.72%
https://finance.naver.com/item/frgn.nhn?code=005850,2020.11.19,"15,750",150,+0.96%,"219,554","-2,663","-5,501","7,084,528",14.70%
https://finance.naver.com/item/frgn.nhn?code=005850,2020.11.18,"15,600",600,-3.70%,"467,119","-85,250","-94,113","7,090,029",14.71%
https://finance.naver.com/item/frgn.nhn?code=005850,2020.11.17,"16,200",700,+4.52%,"656,828","+57,932","+78,720","7,184,211",14.90%
https://finance.naver.com/item/frgn.nhn?code=000660,2020.11.23,"100,000","3,200",+3.31%,"4,122,230","+199,828","+891,441","365,389,651",50.19%
https://finance.naver.com/item/frgn.nhn?code=000660,2020.11.20,"96,800","1,400",-1.43%,"2,424,003","-246,482","-173,322","364,498,210",50.07%
https://finance.naver.com/item/frgn.nhn?code=000660,2020.11.19,"98,200",200,+0.20%,"2,766,688","-396,416","+423,400","364,776,298",50.11%
https://finance.naver.com/item/frgn.nhn?code=000660,2020.11.18,"98,000",100,-0.10%,"3,734,037","-83,365","+317,012","364,330,773",50.05%
https://finance.naver.com/item/frgn.nhn?code=000660,2020.11.17,"98,100",100,+0.10%,"5,218,295","+41,409","+991,607","364,030,269",50.00%
https://finance.naver.com/item/frgn.nhn?code=004020,2020.11.23,"33,150","1,300",+4.08%,"1,377,102","+96,184","+271,462","25,801,345",19.33%
https://finance.naver.com/item/frgn.nhn?code=004020,2020.11.20,"31,850",50,-0.16%,"639,380","-35,774","-3,402","25,529,883",19.13%
https://finance.naver.com/item/frgn.nhn?code=004020,2020.11.19,"31,900",400,-1.24%,"659,115","-62,517","-17,044","25,530,981",19.13%
https://finance.naver.com/item/frgn.nhn?code=004020,2020.11.18,"32,300",100,-0.31%,"678,868","+22,631","+90,583","25,544,713",19.14%
