Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=096240,2020.05.20,"20,250",50,-0.25%,"52,856","+13,173",+492,"406,091",5.29%
https://finance.naver.com/item/frgn.nhn?code=096240,2020.05.19,"20,300",300,+1.50%,"123,916","+37,677","-7,482","405,599",5.28%
https://finance.naver.com/item/frgn.nhn?code=020150,2020.05.25,"49,000","1,800",+3.81%,"726,400","+64,960","+27,385","3,794,163",8.23%
https://finance.naver.com/item/frgn.nhn?code=020150,2020.05.22,"47,200",200,-0.42%,"723,163","-5,300","+7,066","3,766,778",8.17%
https://finance.naver.com/item/frgn.nhn?code=020150,2020.05.21,"47,400",500,+1.07%,"733,820","+45,961","-18,660","3,758,712",8.15%
https://finance.naver.com/item/frgn.nhn?code=020150,2020.05.20,"46,900","2,650",+5.99%,"813,567","+84,028","+71,392","3,777,192",8.19%
https://finance.naver.com/item/frgn.nhn?code=020150,2020.05.19,"44,250",250,-0.56%,"626,622","+5,144","-72,980","3,705,584",8.04%
https://finance.naver.com/item/frgn.nhn?code=090850,2020.05.25,"12,800",200,+1.59%,"158,143","+36,424","+3,086","2,501,771",22.39%
https://finance.naver.com/item/frgn.nhn?code=090850,2020.05.22,"12,600",0,0.00%,"262,941","-1,385","-15,216","2,498,685",22.37%
https://finance.naver.com/item/frgn.nhn?code=090850,2020.05.21,"12,600",300,+2.44%,"163,861","-6,432",-968,"2,513,901",22.50%
https://finance.naver.com/item/frgn.nhn?code=090850,2020.05.20,"12,300",200,+1.65%,"178,286","-1,322","-15,132","2,514,869",22.51%
https://finance.naver.com/item/frgn.nhn?code=090850,2020.05.19,"12,100",50,-0.41%,"169,596","+5,926","-6,487","2,530,001",22.65%
https://finance.naver.com/item/frgn.nhn?code=006650,2020.05.25,"126,000",500,+0.40%,"42,294","+2,877","+6,088","780,251",12.00%
https://finance.naver.com/item/frgn.nhn?code=006650,2020.05.22,"125,500","6,500",-4.92%,"94,367","-28,156","+4,539","774,163",11.91%
https://finance.naver.com/item/frgn.nhn?code=006650,2020.05.21,"132,000","2,000",-1.49%,"57,614","-9,495","+3,528","769,624",11.84%
https://finance.naver.com/item/frgn.nhn?code=006650,2020.05.20,"134,000","2,000",-1.47%,"61,864","+1,295","-3,444","766,066",11.79%
https://finance.naver.com/item/frgn.nhn?code=006650,2020.05.19,"136,000","6,500",+5.02%,"119,927","+16,434","+4,332","769,474",11.84%
https://finance.naver.com/item/frgn.nhn?code=240810,2020.05.25,"35,050",750,+2.19%,"492,120","+9,489","-79,869","13,169,978",26.83%
https://finance.naver.com/item/frgn.nhn?code=240810,2020.05.22,"34,300",0,0.00%,"718,098","+38,012","-94,073","13,249,847",26.99%
https://finance.naver.com/item/frgn.nhn?code=240810,2020.05.21,"34,300",650,-1.86%,"687,438","+17,413","-133,545","13,336,640",27.17%
https://finance.naver.com/item/frgn.nhn?code=240810,2020.05.20,"34,950",750,+2.19%,"584,767","+146,004","-5,889","13,465,721",27.43%
https://finance.naver.com/item/frgn.nhn?code=240810,2020.05.19,"34,200","1,400",+4.27%,"589,601","+182,617","-16,854","13,464,162",27.43%
https://finance.naver.com/item/frgn.nhn?code=134790,2020.05.25,"42,050",250,+0.60%,"1,769",+201,+132,"13,651",0.68%
https://finance.naver.com/item/frgn.nhn?code=134790,2020.05.22,"41,800","1,100",-2.56%,"3,421",-16,+22,"13,519",0.68%
https://finance.naver.com/item/frgn.nhn?code=134790,2020.05.21,"42,900",500,-1.15%,"5,051",0,-631,"13,497",0.67%
